,parent,child,lambda_val,child_size
4646,16428,4376,5.5102040816326525,1
4647,16428,4382,5.5102040816326525,1
4648,16428,4674,5.5102040816326525,1
4649,16428,5056,5.5102040816326525,1
4650,16405,7790,5.0,1
4651,16405,8112,5.0,1
4652,16405,8129,5.0,1
4653,16405,8241,5.0,1
4654,16416,11216,4.778761061946903,1
4655,16295,10099,8.571428571428571,1
4656,16413,5825,3.4394904458598727,1
4657,16382,14683,3.6486486486486487,1
4658,16439,4689,3.724137931034482,1
4659,16411,10619,4.153846153846154,1
4660,16443,6933,3.884892086330935,1
4661,16443,7745,3.884892086330935,1
4662,16443,9695,3.884892086330935,1
4663,16443,10034,3.884892086330935,1
4664,16444,5436,3.857142857142857,1
4665,16445,1485,4.251968503937007,1
4666,16446,1560,4.251968503937007,1
4667,16442,2573,4.21875,1
4668,16442,2690,4.21875,1
4669,16442,2790,4.21875,1
4670,16442,3585,4.21875,1
4671,16442,5141,4.21875,1
4672,16435,6185,5.0,1
4673,16436,5287,5.09433962264151,1
4674,16373,6380,3.884892086330935,1
4675,16373,10638,3.884892086330935,1
4676,16373,9640,3.884892086330935,1
4677,16373,9874,3.884892086330935,1
4678,16389,7809,3.776223776223776,1
4679,16393,9092,6.067415730337079,1
4680,16437,8395,5.869565217391305,1
4681,16427,890,5.56701030927835,1
4682,16405,9164,5.046728971962617,1
4683,16416,9862,4.778761061946903,1
4684,16295,10542,8.852459016393443,1
4685,16413,5754,3.4394904458598727,1
4686,16382,14146,3.6986301369863015,1
4687,16439,3937,3.724137931034482,1
4688,16411,11274,4.186046511627906,1
4689,16443,6767,3.91304347826087,1
4690,16443,10243,3.91304347826087,1
4691,16444,5800,3.857142857142857,1
4692,16445,4933,4.285714285714286,1
4693,16445,5004,4.285714285714286,1
4694,16446,2518,4.251968503937007,1
4695,16435,5947,5.0,1
4696,16436,5531,5.242718446601942,1
4697,16373,5794,3.91304347826087,1
4698,16373,5919,3.91304347826087,1
4699,16373,6673,3.91304347826087,1
4700,16373,9919,3.91304347826087,1
4701,16389,7705,3.776223776223776,1
4702,16393,8383,6.206896551724138,1
4703,16437,7482,5.869565217391305,1
4704,16427,5081,5.625,1
4705,16405,9152,5.046728971962617,1
4706,16416,11245,4.821428571428571,1
4707,16295,9940,8.852459016393443,1
4708,16295,11335,8.852459016393443,1
4709,16295,11026,8.852459016393443,1
4710,16295,10996,8.852459016393443,1
4711,16295,10947,8.852459016393443,1
4712,16413,4671,3.4394904458598727,1
4713,16382,15696,3.724137931034482,1
4714,16382,14393,3.724137931034482,1
4715,16382,15074,3.724137931034482,1
4716,16439,3490,3.724137931034482,1
4717,16411,9886,4.186046511627906,1
4718,16411,11249,4.186046511627906,1
4719,16443,5564,3.91304347826087,1
4720,16443,5611,3.91304347826087,1
4721,16443,6085,3.91304347826087,1
4722,16444,7427,3.857142857142857,1
4723,16445,1744,4.285714285714286,1
4724,16445,1867,4.285714285714286,1
4725,16445,3984,4.285714285714286,1
4726,16445,4548,4.285714285714286,1
4727,16446,2711,4.251968503937007,1
4728,16435,5615,5.0,1
4729,16436,6937,5.454545454545455,1
4730,16436,7209,5.454545454545455,1
4731,16373,5249,3.91304347826087,1
4732,16389,8034,3.802816901408451,1
4733,16393,7665,6.27906976744186,1
4734,16393,8268,6.27906976744186,1
4735,16437,7781,5.869565217391305,1
4736,16427,4857,5.625,1
4737,16405,7827,5.046728971962617,1
4738,16405,8343,5.046728971962617,1
4739,16405,9089,5.046728971962617,1
4740,16416,10602,4.821428571428571,1
4741,16413,3451,3.4394904458598727,1
4742,16382,14097,3.75,1
4743,16439,2898,3.724137931034482,1
4744,16411,11359,4.21875,1
4745,16443,16447,3.9416058394160585,792
4746,16443,16448,3.9416058394160585,5
4747,16444,7937,3.857142857142857,1
4748,16445,1598,4.285714285714286,1
4749,16446,3050,4.251968503937007,1
4750,16435,5604,5.09433962264151,1
4751,16436,5627,5.5102040816326525,1
4752,16436,6038,5.5102040816326525,1
4753,16436,6461,5.5102040816326525,1
4754,16373,16449,3.9416058394160585,450
4755,16373,16450,3.9416058394160585,8
4756,16389,9116,3.829787234042553,1
4757,16393,9014,6.352941176470588,1
4758,16437,9246,5.934065934065934,1
4759,16427,4703,5.625,1
4760,16405,8410,5.142857142857142,1
4761,16416,16451,4.821428571428571,75
4762,16416,16452,4.821428571428571,6
4763,16413,1543,3.4394904458598727,1
4764,16382,13839,3.776223776223776,1
4765,16382,15062,3.776223776223776,1
4766,16382,15434,3.776223776223776,1
4767,16439,2350,3.724137931034482,1
4768,16411,10290,4.21875,1
4769,16447,8220,3.9416058394160585,1
4770,16448,8230,3.9416058394160585,1
4771,16448,9665,3.9416058394160585,1
4772,16448,9733,3.9416058394160585,1
4773,16448,10333,3.9416058394160585,1
4774,16448,10957,3.9416058394160585,1
4775,16444,7987,3.857142857142857,1
4776,16444,8145,3.857142857142857,1
4777,16444,9195,3.857142857142857,1
4778,16444,10086,3.857142857142857,1
4779,16444,10716,3.857142857142857,1
4780,16445,458,4.285714285714286,1
4781,16446,4652,4.251968503937007,1
4782,16446,4770,4.251968503937007,1
4783,16446,4793,4.251968503937007,1
4784,16446,5062,4.251968503937007,1
4785,16446,5095,4.251968503937007,1
4786,16435,16453,5.142857142857142,79
4787,16435,16454,5.142857142857142,7
4788,16436,6656,5.56701030927835,1
4789,16449,9521,3.970588235294118,1
4790,16449,9702,3.970588235294118,1
4791,16450,10824,3.9416058394160585,1
4792,16389,8357,3.829787234042553,1
4793,16393,8153,6.352941176470588,1
4794,16393,8574,6.352941176470588,1
4795,16437,7764,6.0,1
4796,16427,4529,5.625,1
4797,16405,7469,5.142857142857142,1
4798,16451,11290,4.909090909090909,1
4799,16451,11348,4.909090909090909,1
4800,16451,11516,4.909090909090909,1
4801,16451,11546,4.909090909090909,1
4802,16452,9588,4.821428571428571,1
4803,16413,656,3.4394904458598727,1
4804,16382,15497,3.802816901408451,1
4805,16439,611,3.724137931034482,1
4806,16411,10138,4.21875,1
4807,16447,7289,3.9416058394160585,1
4808,16445,16455,4.32,634
4809,16445,16456,4.32,8
